,repository_name,language
0,breakout-game,JavaScript
1,brmodelo-app,
2,build-your-own-x,
3,clean-ts-api,
4,contacts-api,Ruby
5,ddd-golang,Go
6,demo-onepage-scroll,
7,discord-mass-DM-GO,
8,genesis,TypeScript
9,inception-microservice,TypeScript
10,insta-followers,JavaScript
11,legalease,TypeScript
12,linguagens-utilizadas,Python
13,mktronics,Ruby
14,nothing-private,
15,oracle,SCSS
16,PayloadsAllTheThings,
17,port-scanner,Python
18,prisma-combine,
19,random-password,CSS
20,redux-101,TypeScript
21,shooting-game,JavaScript
22,THE-boring-project,TypeScript
23,time-slice,Go
24,Web-Attack-Cheat-Sheet,
25,website-availability,Go
